Designator,Mid X,Mid Y,Layer,Rotation
C1,138.00,66.00,Top,0.0
C2,66.00,66.00,Top,0.0
C3,26.00,68.00,Top,0.0
C4,82.00,19.00,Top,0.0
C5,29.00,68.00,Top,0.0
C6,115.00,11.00,Top,180.0
C7,82.00,27.00,Top,0.0
C8,82.00,30.00,Top,0.0
C9,115.00, 9.00,Top,180.0
C10,23.00,68.00,Top,0.0
C11,82.00,21.00,Top,0.0
C12,35.00,68.00,Top,0.0
C13,32.00,68.00,Top,0.0
C14,115.00, 7.00,Top,180.0
C15,115.00,13.00,Top,180.0
C16,102.00,47.00,Top,180.0
C17,98.00,41.00,Top,0.0
C18,102.00,41.00,Top,180.0
C19,98.00,35.00,Top,0.0
C20,102.00,35.00,Top,180.0
C21,98.00,29.00,Top,0.0
C22,102.00,29.00,Top,180.0
C23,98.00,23.00,Top,0.0
C24,102.00,23.00,Top,180.0
C25,98.00,17.00,Top,0.0
C26,82.00,43.00,Top,0.0
C27,74.00,38.00,Top,0.0
C28,82.00,34.00,Top,0.0
C29,74.00,29.00,Top,0.0
C30,82.00,25.00,Top,0.0
C31,74.00,20.00,Top,0.0
C32,106.00,46.00,Top,180.0
C33,94.00,46.00,Top,180.0
C34,94.00,26.00,Top,0.0
C35,94.00,19.00,Top,0.0
C36,106.00,26.00,Top,0.0
C37,106.00,19.00,Top,0.0
C38,79.00,69.00,Top,0.0
C39,96.00,64.00,Top,0.0
C40,91.00,66.00,Top,0.0
C41,121.00,66.00,Top,0.0
C42,138.00,68.00,Top,180.0
C43,106.00,72.00,Top,180.0
C44,121.00,68.00,Top,0.0
C45,106.00,70.00,Top,0.0
C46,96.00,66.00,Top,180.0
C47,79.00,71.00,Top,0.0
C48,43.90,72.10,Top,0.0
C49,44.00,63.00,Top,0.0
C50,56.00,54.00,Top,0.0
C51,56.00,49.00,Top,0.0
C52,56.00,44.00,Top,0.0
C53,56.00,39.00,Top,0.0
C54,120.00,45.00,Top,0.0
C55,120.00,47.00,Top,0.0
C56,46.00,39.00,Top,0.0
C57,46.00,44.00,Top,0.0
C58,46.00,49.00,Top,0.0
C59,46.00,54.00,Top,0.0
C60,60.00,37.00,Top,0.0
C61,60.00,42.00,Top,0.0
C62,60.00,47.00,Top,0.0
C63,60.00,52.00,Top,0.0
C64,124.00,33.00,Top,0.0
C65,124.00,35.00,Top,180.0
C66,56.00,24.00,Top,0.0
C67,56.00,19.00,Top,0.0
C68,56.00,29.00,Top,0.0
C69,56.00,34.00,Top,0.0
C70,41.00,56.00,Top,0.0
C71,41.00,35.00,Top,0.0
IC1,76.00,24.00,Top,0.0
IC2,46.00,68.00,Top,0.0
IC3,100.00,26.00,Top,0.0
IC4,100.00,44.00,Top,0.0
IC6,76.00,33.00,Top,0.0
IC7,76.00,42.00,Top,0.0
IC8,100.00,20.00,Top,0.0
IC9,100.00,38.00,Top,0.0
IC10,100.00,32.00,Top,0.0
IC12,51.00,53.00,Top,0.0
IC13,51.00,48.00,Top,0.0
IC14,51.00,43.00,Top,0.0
IC15,51.00,38.00,Top,0.0
IC16,122.00,40.00,Top,0.0
IC17,51.00,33.00,Top,0.0
IC18,51.00,28.00,Top,0.0
IC19,51.00,23.00,Top,0.0
IC20,51.00,18.00,Top,0.0
IC21,41.00,53.00,Top,270.0
IC22,41.00,43.00,Top,270.0
IC23,41.00,48.00,Top,270.0
IC24,41.00,38.00,Top,270.0
IC25,107.00, 7.00,Top,270.0
R1,106.00,44.00,Top,180.0
R2,94.00,48.00,Top,180.0
R3,69.00,22.00,Top,180.0
R6,69.00,44.00,Top,180.0
R7,106.00,35.00,Top,180.0
R8,110.00,41.00,Top,0.0
R9,69.00,28.00,Top,180.0
R10,69.00,25.00,Top,0.0
R11,94.00,44.00,Top,0.0
R12,110.00,38.00,Top,0.0
R13,94.00,41.00,Top,0.0
R14,93.00,35.00,Top,180.0
R17,69.00,19.00,Top,180.0
R18,69.00,36.00,Top,180.0
R19,69.00,33.00,Top,0.0
R20,94.00,38.00,Top,0.0
R21,94.00,28.00,Top,180.0
R22,94.00,24.00,Top,180.0
R23,106.00,28.00,Top,180.0
R24,106.00,24.00,Top,180.0
R25,93.00,32.00,Top,180.0
R26,69.00,41.00,Top,0.0
R27,94.00,21.00,Top,180.0
R28,94.00,17.00,Top,180.0
R29,106.00,21.00,Top,180.0
R30,106.00,17.00,Top,180.0
R31,120.00,35.00,Top,0.0
R32,110.00,35.00,Top,0.0
R33,106.00,38.00,Top,180.0
R34,106.00,48.00,Top,0.0
R35,120.00,32.00,Top,0.0
R36,106.00,32.00,Top,180.0
R38,110.00,32.00,Top,0.0
R40,106.00,41.00,Top,180.0
R42,98.00,48.00,Top,180.0
R47,54.00,72.00,Top,0.0
R48,120.00,18.00,Top,0.0
R49,120.00,21.00,Top,0.0
R50,120.00,24.00,Top,0.0
R51,120.00,27.00,Top,0.0
R53,54.00,66.00,Top,0.0
R54,59.00,72.00,Top,0.0
R55,59.00,66.00,Top,0.0
R56,54.00,69.00,Top,180.0
R57,54.00,63.00,Top,180.0
R58,59.00,69.00,Top,180.0
R59,59.00,63.00,Top,180.0
R60,125.00,27.00,Top,0.0
R61,125.00,24.00,Top,180.0
U1,122.00,10.00,Top,270.0
