Designator,Mid X,Mid Y,Layer,Rotation
ARDUINO_NANO1,137.00,26.00,Top,90.0
C1,131.00,66.00,Top,180.0
C2,86.00,72.00,Top,180.0
C3,26.00,68.00,Top,0.0
C4,59.00,31.00,Top,0.0
C5,29.00,68.00,Top,0.0
C6,135.00,63.00,Top,180.0
C7,108.00,50.00,Top,0.0
C8,108.00,46.00,Top,0.0
C9,49.00,47.00,Top,180.0
C10,23.00,68.00,Top,0.0
C12,35.00,68.00,Top,0.0
C13,32.00,68.00,Top,0.0
C14,59.00,39.00,Top,0.0
C15,51.00,31.00,Top,0.0
C16,75.00,62.00,Top,180.0
C17,71.00,25.00,Top,0.0
C18,83.00,23.00,Top,180.0
C19,71.00,13.00,Top,0.0
C20,83.00,11.00,Top,180.0
C21,50.00, 9.00,Top,0.0
C22,54.00,15.00,Top,180.0
C23,50.00, 3.00,Top,0.0
C24,54.00, 9.00,Top,180.0
C25,96.00,72.00,Top,180.0
C26,96.00,52.00,Top,0.0
C27,89.00,44.00,Top,180.0
C28,108.00,48.00,Top,0.0
C29,99.00,44.00,Top,180.0
C30,108.00,39.00,Top,0.0
C31,99.00,34.00,Top,180.0
C34,41.00,40.00,Top,180.0
C35,78.00,51.00,Top,180.0
C36,46.00,31.00,Top,0.0
C37,54.00,31.00,Top,180.0
C38,86.00,68.00,Top,180.0
C39,96.00,68.00,Top,0.0
C40,114.00,68.00,Top,0.0
C41,138.00,66.00,Top,0.0
C42,131.00,68.00,Top,180.0
C43,114.00,72.00,Top,180.0
C44,138.00,68.00,Top,0.0
C45,114.00,70.00,Top,0.0
C46,70.00,54.00,Top,0.0
C47,86.00,70.00,Top,180.0
C48,54.10,38.90,Top,180.0
C49,71.00,27.00,Top,180.0
C50,76.00, 3.00,Top,0.0
C51,76.00, 9.00,Top,0.0
C52,78.00,45.00,Top,180.0
C53,78.00,39.00,Top,180.0
C54,59.00,47.00,Top,0.0
C55,131.00,63.00,Top,0.0
C56,41.00,21.00,Top,0.0
C57,41.00,29.00,Top,0.0
C58,71.00,37.00,Top,0.0
C59,71.00,49.00,Top,0.0
C60,63.00,21.00,Top,0.0
C61,63.00,29.00,Top,0.0
C62,83.00,35.00,Top,0.0
C63,83.00,47.00,Top,0.0
C64,63.00,31.00,Top,180.0
C66,41.00,33.00,Top,0.0
C67,76.00,21.00,Top,0.0
C68,71.00,39.00,Top,180.0
C69,78.00,33.00,Top,180.0
C70,71.00, 3.00,Top,0.0
C71,71.00,15.00,Top,0.0
C72,51.00,23.00,Top,0.0
C73,54.00,23.00,Top,180.0
C74,51.00,15.00,Top,0.0
C75,45.00,40.00,Top,0.0
C76,96.00,70.00,Top,180.0
C77,76.00,15.00,Top,180.0
C78,98.00,59.00,Top,0.0
C79,89.00,54.00,Top,180.0
IC1,92.00,58.00,Top,0.0
IC2,61.00,43.00,Top,0.0
IC3,52.00,12.00,Top,0.0
IC4,73.00,58.00,Top,0.0
IC5,52.00, 6.00,Top,0.0
IC6,92.00,48.00,Top,0.0
IC7,102.00,48.00,Top,0.0
IC8,52.00,27.00,Top,270.0
IC9,52.00,19.00,Top,270.0
IC10,52.00,35.00,Top,270.0
IC11,76.00,73.00,Top,0.0
IC12,77.00,48.00,Top,0.0
IC13,77.00,36.00,Top,0.0
IC14,77.00,24.00,Top,0.0
IC15,77.00,12.00,Top,0.0
IC16,51.00,43.00,Top,0.0
IC17,77.00,42.00,Top,0.0
IC18,77.00,30.00,Top,0.0
IC19,77.00,18.00,Top,0.0
IC20,77.00, 6.00,Top,0.0
IC21,71.00,42.00,Top,270.0
IC22,71.00,18.00,Top,270.0
IC23,71.00,30.00,Top,270.0
IC24,71.00, 6.00,Top,270.0
IC26,42.00,46.00,Top,270.0
IC27,102.00,38.00,Top,0.0
IO_C10,45.00,58.00,Top,270.0
IO_H4,45.00,68.00,Top,270.0
IO_H5,57.00,68.00,Top,270.0
IO_H34,57.00,58.00,Top,270.0
J1,145.00,54.00,Top,90.0
J2,10.00,37.00,Bottom,90.0
J3,32.00,60.00,Top,0.0
J4,20.00,60.00,Top,0.0
J5,107.00,28.00,Top,180.0
J6,26.00,60.00,Top,0.0
J7,23.00,60.00,Top,0.0
J8,35.00,60.00,Top,0.0
J9,47.00,51.00,Top,0.0
J12,29.00,60.00,Top,0.0
L1,130.00,71.00,Top,180.0
L2,137.00,71.00,Top,180.0
OPIN,105.00,59.00,Top,90.0
PULSESUMOUT,82.00,59.00,Top,0.0
R1,75.00,54.00,Top,0.0
R2,99.00,61.00,Top,0.0
R3,90.00,62.00,Top,0.0
R4,40.00,58.00,Top,90.0
R5,52.00,58.00,Top,90.0
R6,104.00,44.00,Top,0.0
R7,83.00,41.00,Top,180.0
R8,83.00,32.00,Top,180.0
R9,104.00,34.00,Top,0.0
R10,100.00,32.00,Top,0.0
R11,94.00,54.00,Top,180.0
R12,83.00,19.00,Top,180.0
R13,71.00,62.00,Top,0.0
R15,40.00,68.00,Top,90.0
R16,52.00,68.00,Top,90.0
R17,59.00,33.00,Top,0.0
R18,94.00,44.00,Top,0.0
R19,90.00,42.00,Top,0.0
R20,90.00,52.00,Top,0.0
R21,41.00,11.00,Top,180.0
R22,46.00,11.00,Top,0.0
R23,41.00,14.00,Top,0.0
R24,46.00,14.00,Top,0.0
R25,59.00,36.00,Top,180.0
R26,100.00,42.00,Top,0.0
R27,63.00,11.00,Top,180.0
R28,58.00,11.00,Top,0.0
R29,63.00,14.00,Top,0.0
R30,58.00,14.00,Top,0.0
R31,63.00,36.00,Top,180.0
R32,83.00, 7.00,Top,180.0
R33,83.00,44.00,Top,180.0
R34,81.00,54.00,Top,0.0
R36,83.00,29.00,Top,180.0
R37,41.00, 4.00,Top,180.0
R38,83.00,16.00,Top,180.0
R39,46.00, 4.00,Top,0.0
R40,83.00, 4.00,Top,0.0
R41,41.00, 7.00,Top,0.0
R42,99.00,57.00,Top,180.0
R43,46.00, 7.00,Top,0.0
R44,63.00, 4.00,Top,180.0
R45,58.00, 4.00,Top,0.0
R46,63.00, 7.00,Top,0.0
R47,71.00,47.00,Top,0.0
R48,136.00,48.00,Top,0.0
R49,131.00,48.00,Top,180.0
R50,136.00,51.00,Top,0.0
R51,131.00,51.00,Top,180.0
R52,58.00, 7.00,Top,0.0
R53,71.00,35.00,Top,0.0
R54,41.00,26.00,Top,0.0
R55,41.00,18.00,Top,0.0
R56,83.00,49.00,Top,0.0
R57,83.00,37.00,Top,0.0
R58,63.00,26.00,Top,0.0
R59,63.00,18.00,Top,0.0
R60,63.00,33.00,Top,180.0
R62,58.00,29.00,Top,0.0
R63,46.00,29.00,Top,0.0
R64,46.00,26.00,Top,180.0
R65,58.00,26.00,Top,0.0
R66,58.00,21.00,Top,180.0
R67,46.00,21.00,Top,0.0
R68,46.00,18.00,Top,180.0
R69,58.00,18.00,Top,0.0
R71,46.00,36.00,Top,0.0
R72,46.00,33.00,Top,180.0
R74,71.00,23.00,Top,180.0
R75,83.00,25.00,Top,0.0
R76,71.00,11.00,Top,180.0
R77,83.00,13.00,Top,0.0
R78,41.00,36.00,Top,0.0
R80,65.00,55.00,Top,0.0
R81,65.00,58.00,Top,0.0
R82,65.00,61.00,Top,0.0
R83,65.00,64.00,Top,0.0
R_O2,118.00,43.00,Top,90.0
R_VH,118.00,33.00,Top,90.0
R_VL,118.00,38.00,Top,90.0
SV1,23.00,27.00,Top,90.0
SV2,28.00,27.00,Top,90.0
U1,133.00,58.00,Top,270.0
U2,104.00,70.00,Top,0.0
