Comment,Designator,Footprint,LCSC Part #
0.1uF,C3 C4 C5 C6 C7 C9 C10 C12 C13 C14 C15 C16 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C33 C35 C36 C37 C42 C43 C44 C45 C46 C47 C48 C49 C50 C51 C52 C53 C54 C55 C65 C66 C67 C68 C69 C70 C71 C72 C73 C74 C75 C76 C78 C79 C95 C97 C98 C101 C102 C103 C104 C105,C0402K,
1-3k,R9,R0805,
1k,R6 R11 R17 R18 R35 R61 R62 R63 R64 R65 R66 R67 R68 R69 R79 R85 R96 R97 R98 R99 R115,R0402,
1uF,C17 C18 C19 C20 C31 C56 C57 C58 C59 C60 C61 C62 C63 C89 C90 C96 C99 C100,C0402K,
4.7k,R48 R49 R50 R51 R87 R90,R0402,
10,R3 R13 R71 R72 R78 R86 R88 R89,R0402,C17415
10uF,C1 C2 C34 C38 C39 C40 C41 C77 C86 C106 C107 C108 C109 C110 C111 C112 C113 C114 C115,C0402K,
10uH,L1 L2,1210,C1882517
47,R2 R19 R20 R34 R70,R0402,
50?,R4 R5 R15 R16,R0402,
74AUP2GU04GW,IC21 IC22 IC23 IC24 IC34 IC35,SOT65P210X110-6N,
100,R10 R14 R26 R42 R47 R53 R54 R55 R56 R57 R58 R59 R74 R75 R76 R77 R92 R93 R94 R95 R100 R101,R0402,
100pF,C32 C81 C82 C83 C84 C85 C87 C88 C91 C92 C93 C94 C116 C117,C0402K,
330,R21 R22 R23 R24 R25 R27 R28 R29 R30 R31 R37 R39 R41 R43 R44 R45 R46 R52 R80 R81 R82 R83 R91 R102 R103 R104 R105 R106 R107 R108 R109 R110,R0402,
470,R1 R7 R8 R12 R32 R33 R36 R38 R40 R111 R112 R113 R114,R0402,
7805DT,IC11,TO252,
AMS1117-1.8,IC26,SOT223,
DAC7578SPWR,IC2 IC16,SOP65P640X120-16N,
LM337KVURG3,IC29,LM337KVURG3,
LM358,IC8 IC9 IC10 IC27,SO08,
LTC6229IMS8E#TRPBF,IC3 IC5 IC33,SOP65P490X110-9N,
MC7905ACD2TR4G,IC25,MC7905ACD2TR4G,C78860
OPA695IDR,IC4 IC6,SOIC127P600X175-8N,
OPA699ID,IC1 IC7,SOIC127P600X175-8N,
SN74AUC2G66DCTR,IC12 IC13 IC14 IC15 IC17 IC18 IC19 IC20 IC28 IC30 IC31 IC32,SOP65P400X130-8N,
